Calle El Rincón;El Rincón;El;Rincón;0;Unknown
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female
Calle Zamora;Zamora;Zamora;;0;Unknown
Calle Buríos;Buríos;Buríos;;0;Unknown
Calle Flores;Flores;Flores;;2;Female
Calle Reyes;Reyes;Reyes;;2;Female
Calle Guadalupe;Guadalupe;Guadalupe;;2;Female
Calle Chaves;Chaves;Chaves;;0;Unknown
Calle Chilamate;Chilamate;Chilamate;;0;Unknown
Calle La Cruz;La Cruz;La;Cruz;2;Female
Calle Mónica;Mónica;Mónica;;2;Female
Calle San Gerardo;San Gerardo;San;Gerardo;-2;Male
Calle Del Cerro;Del Cerro;Del;Cerro;0;Unknown
Calle Zumbado;Zumbado;Zumbado;;0;Unknown
Calle San José;San José;San;José;-2;Male
Calle San Miguel;San Miguel;San;Miguel;-2;Male
Calle Los Gringos;Los Gringos;Los;Gringos;0;Unknown
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female
Calle INCAE;INCAE;INCAE;;0;Unknown
Calle Bosque Encantado;Bosque Encantado;Bosque;Encantado;0;Unknown
Riteve;Riteve;Riteve;;0;Unknown
Radial Coyol;Radial Coyol;Radial;Coyol;0;Unknown
Calle Llanos;Llanos;Llanos;;2;Female
Digitec Seguridad Electronica;Digitec Seguridad Electronica;Digitec;Seguridad;0;Unknown
Calle Sánchez;Sánchez;Sánchez;;0;Unknown
Sierra Morena;Sierra Morena;Sierra;Morena;2;Female
Calle Guevara;Guevara;Guevara;;0;Unknown
Calle Murillo;Murillo;Murillo;;0;Unknown
Calle El Salto;El Salto;El;Salto;0;Unknown
Las Bruselas;Las Bruselas;Las;Bruselas;0;Unknown
Calle San Juan;San Juan;San;Juan;-2;Male
Boulevard Los Malinches;Los Malinches;Los;Malinches;0;Unknown
Calle Rincón Chiquito;Rincón Chiquito;Rincón;Chiquito;0;Unknown
Malaga El Roble;Malaga El Roble;Malaga;El;0;Unknown
Villa Eli;Eli;Eli;;2;Female
Calle Vargas;Vargas;Vargas;;0;Unknown
Calle Los Rosales;Los Rosales;Los;Rosales;0;Unknown
Calle Los Pérez;Los Pérez;Los;Pérez;-2;Male
Calle La Union;La Union;La;Union;0;Unknown
Calle El Durazno;El Durazno;El;Durazno;0;Unknown
Calle Lobo;Lobo;Lobo;;0;Unknown
Calle La Amistad;La Amistad;La;Amistad;0;Unknown
Calle La Torre;La Torre;La;Torre;0;Unknown
Calle San Pío;San Pío;San;Pío;-2;Male
Calle Carranza;Carranza;Carranza;;0;Unknown
Calle Mangos;Mangos;Mangos;;0;Unknown
Calle Santa Fe;Santa Fe;Santa;Fe;2;Female
Calle La Tigra;La Tigra;La;Tigra;0;Unknown
Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male
Avenida Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male
Avenida Central;Central;Central;;0;Unknown
Calle La Unión;La Unión;La;Unión;0;Unknown
Calle Loria;Loria;Loria;;0;Unknown
Servicentro La Ceiba;Servicentro La Ceiba;Servicentro;La;0;Unknown
Calle Arias;Arias;Arias;;0;Unknown
Las Americas;Las Americas;Las;Americas;0;Unknown
Calle La Paz;La Paz;La;Paz;2;Female
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male
Calle León Fernández;León Fernández;León;Fernández;-2;Male
Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male
Calle Maravilla;Maravilla;Maravilla;;2;Female
Calle Obispo Tristán;Obispo Tristán;Obispo;Tristán;-2;Male
Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male
Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male
Calle León Fernández;León Fernández;León;Fernández;-2;Male
Guardia;Guardia;Guardia;;0;Unknown
Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male
Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male
El Mesón;El Mesón;El;Mesón;0;Unknown
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male
De Las Provincias;De Las Provincias;De;Las;0;Unknown
Alfaro Ruíz;Alfaro Ruíz;Alfaro;Ruíz;-2;Male
Alfaro Ruíz;Alfaro Ruíz;Alfaro;Ruíz;-2;Male
La Concordia;La Concordia;La;Concordia;2;Female
Calle León Fernández;León Fernández;León;Fernández;-2;Male
Calle Central;Central;Central;;0;Unknown
Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male
Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Arroyo;Arroyo;Arroyo;;0;Unknown
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Maravilla;Maravilla;Maravilla;;2;Female
Obispo Tristán;Obispo Tristán;Obispo;Tristán;-2;Male
Pasaje León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male
Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male
Boulevard Lorenzo Tristán;Lorenzo Tristán;Lorenzo;Tristán;-2;Male
Alfaro Ruíz;Alfaro Ruíz;Alfaro;Ruíz;-2;Male
Maravilla;Maravilla;Maravilla;;2;Female
De Las Provincias;De Las Provincias;De;Las;0;Unknown
Calle El Mesón;El Mesón;El;Mesón;0;Unknown
El Carmen;El Carmen;El;Carmen;2;Female
La Concordia;La Concordia;La;Concordia;2;Female
La Concordia;La Concordia;La;Concordia;2;Female
Obispo Tristán;Obispo Tristán;Obispo;Tristán;-2;Male
Maravilla;Maravilla;Maravilla;;2;Female
Obispo Tristán;Obispo Tristán;Obispo;Tristán;-2;Male
General Eloy Alfaro;General Eloy Alfaro;General;Eloy;-2;Male
La Paz;La Paz;La;Paz;2;Female
La Concordia;La Concordia;La;Concordia;2;Female
De Las Provincias;De Las Provincias;De;Las;0;Unknown
Arroyo;Arroyo;Arroyo;;0;Unknown
Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
Altos de Montenegro;Altos de Montenegro;Altos;de;0;Unknown
Calle La Chumeca;La Chumeca;La;Chumeca;0;Unknown
Calle La Gardenia;La Gardenia;La;Gardenia;2;Female
Calle Jesús Ocaña;Jesús Ocaña;Jesús;Ocaña;-2;Male
Calle Los Higuerones;Los Higuerones;Los;Higuerones;0;Unknown
Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male
Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
La Concordia;La Concordia;La;Concordia;2;Female
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male
Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
La Concordia;La Concordia;La;Concordia;2;Female
Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male
Paso Flores;Flores;Flores;;2;Female
